type,mode,amount,currentBalance,transactionTimestamp,valueDate,txnId,narration,reference
DEBIT,UPI,19,50.21,2024-05-09T21:44:12+05:30,09-05-2024,c785f6d9-41ce-4222-8e7e-56acda2689b2,UPI/GPAYRECHARGE,
CREDIT,UPI,4000,4050.21,2024-05-10T08:58:30+05:30,10-05-2024,2e15a8d1-b54d-4048-b590-f779e0aba88d,UPI/44971,
DEBIT,UPI,20,4030.21,2024-05-10T10:25:27+05:30,10-05-2024,ce62273d-0213-4c01-ab97-0a92567a1945,UPI/BHARATPE,
DEBIT,UPI,2000,2030.21,2024-05-10T15:13:20+05:30,10-05-2024,2f0ed765-4807-4bc9-ba7f-621994f2115b,UPI/4497,
DEBIT,UPI,80,1950.21,2024-05-10T15:41:45+05:30,10-05-2024,c0b480d3-9bd1-4d7b-a3e7-46675b6adb3c,UPI/PAYTMap,
DEBIT,UPI,130,1820.21,2024-05-10T17:55:09+05:30,10-05-2024,45b50201-8fd6-434b-9d50-574d7ca588aa,UPI/GPAY,
CREDIT,OTHERS,570,2390.21,2024-05-11T05:15:27+05:30,11-05-2024,d179e30f-bd27-4ed2-a1c5-0ba7be5259a4,NEFT,8646845
DEBIT,UPI,10,2380.21,2024-05-11T12:20:17+05:30,11-05-2024,30bb69bd-f41c-403e-8b9a-b979b7677247,UPI/4498,
DEBIT,UPI,130,2250.21,2024-05-11T17:36:38+05:30,11-05-2024,3963a4d4-ba7d-481e-969b-9a44ae20a864,UPI/GPAY,
DEBIT,UPI,80,2170.21,2024-05-11T18:06:10+05:30,11-05-2024,cbefc487-a0fd-41da-a201-25bd1e7a413f,UPI/PAYTMap,
DEBIT,UPI,1000,1170.21,2024-05-11T19:43:21+05:30,11-05-2024,430f553a-f354-4228-9c05-eb2d7ae79d96,UPI/44987,
DEBIT,UPI,240.9,929.31,2024-05-11T20:06:44+05:30,11-05-2024,1abd45bf-1688-44de-a4d5-959f48b5155e,UPI/GPAYRECHARGE,
CREDIT,OTHERS,1750,2679.31,2024-05-12T05:23:38+05:30,12-05-2024,23fb0efc-e983-48df-a46d-1062a787f8e4,NEFT,8646845
DEBIT,UPI,10,2669.31,2024-05-12T16:49:20+05:30,12-05-2024,ef15596a-7bdf-4188-8515-96ad1f22c2c4,UPI/4499,
DEBIT,UPI,70,2599.31,2024-05-12T18:33:02+05:30,12-05-2024,d03a38bf-6960-4ba2-9c36-5bbaf088a36d,UPI/41331,
DEBIT,UPI,200,2399.31,2024-05-12T19:34:31+05:30,12-05-2024,4cd145a0-d0eb-4731-bb29-266c20c33205,UPI/41,
DEBIT,UPI,205,2194.31,2024-05-12T21:52:50+05:30,12-05-2024,ae6f3208-d206-4215-8052-0f979e326278,UPI/BHARATPE,
DEBIT,UPI,20,2174.31,2024-05-13T03:37:08+05:30,13-05-2024,9cf29963-4d2b-4c9c-99e6-134b394dadd8,UPI/4500,
CREDIT,OTHERS,11530,13704.31,2024-05-13T06:54:41+05:30,13-05-2024,7141e406-9738-4db3-8092-123d8dabec38,NEFT,8646845
DEBIT,UPI,40,13664.31,2024-05-13T14:31:52+05:30,13-05-2024,50ba70db-724a-443e-bc6c-d61587d9763d,UPI/45003,
DEBIT,UPI,30,13634.31,2024-05-13T17:06:18+05:30,13-05-2024,dffc4904-9780-4817-b679-f7d95da78607,UPI/4500,
DEBIT,UPI,40,13594.31,2024-05-13T18:44:16+05:30,13-05-2024,ecf802b6-d1d7-43de-b9e0-f41a43a67ce0,UPI/4500,
DEBIT,UPI,10,13584.31,2024-05-14T11:04:57+05:30,14-05-2024,c63622f7-6dc7-4c0d-9da1-026ff7e8f83f,UPI/BHARATPE,
DEBIT,UPI,10000,3584.31,2024-05-14T11:51:56+05:30,14-05-2024,8fb6e718-26d2-4cea-a1d9-aa8fb11ffa83,UPI/41350,
DEBIT,UPI,40,3544.31,2024-05-14T15:38:27+05:30,14-05-2024,f368130f-61d1-44b0-940c-aad28b39bea2,UPI/BHARATPE,
DEBIT,UPI,600,2944.31,2024-05-14T19:24:52+05:30,14-05-2024,32499502-516f-44ba-ace3-9d7f4851515c,UPI/41,
DEBIT,UPI,500,2444.31,2024-05-14T21:13:55+05:30,14-05-2024,374bdc9e-c30b-4d08-8aaf-baa7f00edc68,UPI/BHARATPE,
DEBIT,UPI,150,2294.31,2024-05-14T21:29:18+05:30,14-05-2024,82a23b7d-b949-430b-9925-ac41f1d9ab9e,UPI/PAYTM,
CREDIT,OTHERS,650,2944.31,2024-05-15T05:55:03+05:30,15-05-2024,97f77a7d-37d0-4e8f-8d96-c2603541c6ab,NEFT,8646845
DEBIT,UPI,15,2929.31,2024-05-15T08:04:36+05:30,15-05-2024,4b213377-c845-4d68-b4a3-47adfd333d67,UPI/45025/JIOINAPPDIRECT,
DEBIT,UPI,130,2799.31,2024-05-15T13:14:03+05:30,15-05-2024,21459fcb-7f53-4a2b-98e6-b92e38ac3562,UPI/GPAY,
DEBIT,UPI,100,2699.31,2024-05-15T14:52:12+05:30,15-05-2024,a27bd0c5-66c9-41e7-8350-0d74d43a464f,UPI/4502,
DEBIT,UPI,500,2199.31,2024-05-15T17:17:13+05:30,15-05-2024,7fad5e57-1b2d-440e-a3ff-43aab42e4688,UPI/4502,
DEBIT,UPI,15,2184.31,2024-05-15T22:15:36+05:30,15-05-2024,5a48353c-1b4b-4378-baf4-a75f9ed2e03a,UPI/45028/JIOINAPPDIRECT,
DEBIT,UPI,10,2174.31,2024-05-15T22:36:57+05:30,15-05-2024,8e88e324-d8bb-4920-b8f2-c98a49e51f84,UPI/4502,
CREDIT,OTHERS,130,2304.31,2024-05-16T05:10:20+05:30,16-05-2024,6b33e460-d49f-465e-833d-b6c8843c3e21,NEFT,8646845
DEBIT,UPI,30,2274.31,2024-05-16T17:16:11+05:30,16-05-2024,ac706267-eb14-4772-89e5-a4a30cba2740,UPI/GPAY,
DEBIT,UPI,130,2144.31,2024-05-16T18:00:23+05:30,16-05-2024,51f628f6-d430-41bf-b227-72fc7a89ae8b,UPI/GPAY,
DEBIT,UPI,400,1744.31,2024-05-16T19:26:35+05:30,16-05-2024,5957e0d0-1550-4a27-9f50-4e276d34f00e,UPI/41,
CREDIT,UPI,1000,2744.31,2024-05-16T19:58:36+05:30,16-05-2024,a240c84e-8916-4307-95f5-a722ad0287d6,UPI/41374,
DEBIT,UPI,130,2614.31,2024-05-16T20:46:55+05:30,16-05-2024,544ae2ba-f779-4c9e-a192-faeff9f795fd,UPI/GPAY,
DEBIT,UPI,500,2114.31,2024-05-16T20:48:53+05:30,16-05-2024,9436c34b-0490-4466-a238-6e945334cb4b,UPI/4503,
CREDIT,OTHERS,650,2764.31,2024-05-17T04:44:25+05:30,17-05-2024,b0b21466-ac5c-452c-899c-7f3d1971295d,NEFT,8646845
DEBIT,UPI,110,2654.31,2024-05-17T09:54:31+05:30,17-05-2024,c5913173-57bc-4340-88b2-f9c330e26eaf,UPI/4504,
DEBIT,UPI,95,2559.31,2024-05-17T14:53:22+05:30,17-05-2024,891568f3-3d71-48e1-a416-5854239541a4,UPI/4504,
DEBIT,UPI,1300,1259.31,2024-05-17T18:51:36+05:30,17-05-2024,327b7200-ee13-4179-b6d0-41bc618589f8,UPI/41382,
DEBIT,UPI,260,999.31,2024-05-18T13:36:24+05:30,18-05-2024,4cf0a4da-ff24-4659-a5c0-3827552759ee,UPI/GPAY,
DEBIT,UPI,15,984.31,2024-05-18T17:03:14+05:30,18-05-2024,c93cffda-0d4a-4228-bd3b-6dd8be20afe8,UPI/45051/JIOINAPPDIRECT,
DEBIT,UPI,50,934.31,2024-05-18T19:44:07+05:30,18-05-2024,7907ca94-6546-4a7f-b8ff-0beb996e787b,UPI/PAYTMap,
DEBIT,UPI,50,884.31,2024-05-18T20:53:26+05:30,18-05-2024,50261313-f646-465d-9bfa-09983019e719,UPI/41394/LOAD/LITE,
DEBIT,UPI,60,824.31,2024-05-19T10:24:48+05:30,19-05-2024,b7963334-f585-4191-b319-eba6a2a2456e,UPI/4506,
CREDIT,UPI,100,924.31,2024-05-19T12:15:40+05:30,19-05-2024,d2aa0378-2ce2-4e10-933c-e13c2f583cf2,UPI/4506,
DEBIT,UPI,20,904.31,2024-05-19T12:26:51+05:30,19-05-2024,2869a12e-d89f-40ec-bd80-10d9b45a6e53,UPI/PAYTMap,
DEBIT,UPI,130,774.31,2024-05-19T17:01:14+05:30,19-05-2024,f0dbfbd2-2203-4f8f-a872-fa89b7d761d1,UPI/GPAY,
DEBIT,UPI,50,724.31,2024-05-19T17:44:31+05:30,19-05-2024,3aea12bb-ef0e-4bbe-8eaa-cbfddf5dbfb8,UPI/PAYTMap,
DEBIT,UPI,400,324.31,2024-05-19T19:40:29+05:30,19-05-2024,8b196063-5ca4-443b-b5a2-eafa8e081903,UPI/41402,
DEBIT,UPI,15,309.31,2024-05-19T20:32:25+05:30,19-05-2024,ced19446-2522-40a4-8fa2-a87201c91562,UPI/45065/JIOINAPPDIRECT,
DEBIT,UPI,130,179.31,2024-05-20T13:27:57+05:30,20-05-2024,68a1453d-c79c-40ce-b13d-29a59857331c,UPI/GPAY,
DEBIT,UPI,130,49.31,2024-05-20T17:26:51+05:30,20-05-2024,1dc53379-c75d-49ff-94fd-1b5ccae6cd7f,UPI/GPAY,
CREDIT,OTHERS,1070,1119.31,2024-05-21T05:47:33+05:30,21-05-2024,729dabc3-ec33-4996-bf21-48bde4b3579c,NEFT,8646845
